EpochTime;CurrentPlaybackTime;CurrentBufferSize;CurrentPlaybackState;Action;Bitrate
0;0;0;INITIAL_BUFFERING;Starting;0
0;0;0;INITIAL_BUFFERING;Starting;0
1;0;1;INITIAL_BUFFERING;Writing;46980
2;0;1;PLAY;InitialBuffering-Play;0
4;0;0;PLAY;StillPlaying;46980
579;0;1;PLAY;Writing;46980.0
1013;1;0;PLAY;StillPlaying;46980.0
1219;1;1;PLAY;Writing;46980.0
1827;1;2;PLAY;Writing;91917.0
2013;2;1;PLAY;StillPlaying;46980.0
2462;2;2;PLAY;Writing;46980.0
3013;3;1;PLAY;StillPlaying;91917.0
3119;3;2;PLAY;Writing;91917.0
3742;3;3;PLAY;Writing;135410.0
4013;4;2;PLAY;StillPlaying;46980.0
4355;4;3;PLAY;Writing;91917.0
4985;4;4;PLAY;Writing;135410.0
5013;5;3;PLAY;StillPlaying;91917.0
5603;5;4;PLAY;Writing;182366.0
6012;6;3;PLAY;StillPlaying;135410.0
6235;6;4;PLAY;Writing;226106.0
7012;7;3;PLAY;StillPlaying;91917.0
7375;7;4;PLAY;Writing;270316.0
8013;8;3;PLAY;StillPlaying;135410.0
8534;8;4;PLAY;Writing;226106.0
9013;9;3;PLAY;StillPlaying;182366.0
9155;9;4;PLAY;Writing;270316.0
10012;10;3;PLAY;StillPlaying;226106.0
10279;10;4;PLAY;Writing;352546.0
10960;10;5;PLAY;Writing;270316.0
11013;11;4;PLAY;StillPlaying;270316.0
12018;12;3;PLAY;StillPlaying;226106.0
12095;12;4;PLAY;Writing;352546.0
12763;12;5;PLAY;Writing;270316.0
13013;13;4;PLAY;StillPlaying;270316.0
14012;14;3;PLAY;StillPlaying;352546.0
14443;14;4;PLAY;Writing;352546.0
15012;15;3;PLAY;StillPlaying;270316.0
15651;15;4;PLAY;Writing;270316.0
16012;16;3;PLAY;StillPlaying;352546.0
16803;16;4;PLAY;Writing;352546.0
17012;17;3;PLAY;StillPlaying;270316.0
17454;17;4;PLAY;Writing;226106.0
18013;18;3;PLAY;StillPlaying;352546.0
18098;18;4;PLAY;Writing;270316.0
18753;18;5;PLAY;Writing;226106.0
19012;19;4;PLAY;StillPlaying;270316.0
19397;19;5;PLAY;Writing;270316.0
20013;20;4;PLAY;StillPlaying;352546.0
20527;20;5;PLAY;Writing;352546.0
21012;21;4;PLAY;StillPlaying;226106.0
21659;21;5;PLAY;Writing;270316.0
22012;22;4;PLAY;StillPlaying;270316.0
22802;22;5;PLAY;Writing;352546.0
23014;23;4;PLAY;StillPlaying;226106.0
23966;23;5;PLAY;Writing;270316.0
24013;24;4;PLAY;StillPlaying;270316.0
25013;25;3;PLAY;StillPlaying;352546.0
25569;25;4;PLAY;Writing;352546.0
26013;26;3;PLAY;StillPlaying;270316.0
26703;26;4;PLAY;Writing;226106.0
27012;27;3;PLAY;StillPlaying;352546.0
27363;27;4;PLAY;Writing;270316.0
28013;28;3;PLAY;StillPlaying;270316.0
28510;28;4;PLAY;Writing;226106.0
29012;29;3;PLAY;StillPlaying;352546.0
29679;29;4;PLAY;Writing;182366.0
30013;30;3;PLAY;StillPlaying;226106.0
30774;30;4;PLAY;Writing;226106.0
31012;31;3;PLAY;StillPlaying;270316.0
31919;31;4;PLAY;Writing;182366.0
32019;32;3;PLAY;StillPlaying;226106.0
33012;33;2;PLAY;StillPlaying;182366.0
33086;33;3;PLAY;Writing;226106.0
34013;34;2;PLAY;StillPlaying;226106.0
34263;34;3;PLAY;Writing;135410.0
34910;34;4;PLAY;Writing;182366.0
35012;35;3;PLAY;StillPlaying;182366.0
35997;35;4;PLAY;Writing;135410.0
36013;36;3;PLAY;StillPlaying;226106.0
37012;37;2;PLAY;StillPlaying;135410.0
37615;37;3;PLAY;Writing;182366.0
38012;38;2;PLAY;StillPlaying;182366.0
38727;38;3;PLAY;Writing;135410.0
39012;39;2;PLAY;StillPlaying;135410.0
40012;40;1;PLAY;StillPlaying;182366.0
41012;41;0;PLAY;StillPlaying;135410.0
41457;41;1;PLAY;Writing;91917.0
42013;42;0;PLAY;StillPlaying;91917.0
42086;42;1;PLAY;Writing;135410.0
42742;42;2;PLAY;Writing;46980.0
43012;43;1;PLAY;StillPlaying;135410.0
44012;44;0;PLAY;StillPlaying;46980.0
44432;44;1;PLAY;Writing;91917.0
45012;45;0;PLAY;StillPlaying;91917.0
46013;46;0;BUFFERING;Play-Buffering;0
46048;46;1;BUFFERING;Writing;46980.0
46049;46;1;PLAY;Buffering-Play;0
46051;46;0;PLAY;StillPlaying;46980.0
46639;46;1;PLAY;Writing;91917.0
47052;47;0;PLAY;StillPlaying;91917.0
47289;47;1;PLAY;Writing;46980.0
48052;48;0;PLAY;StillPlaying;46980.0
49052;49;0;BUFFERING;Play-Buffering;0
49914;49;1;BUFFERING;Writing;91917.0
49915;49;1;PLAY;Buffering-Play;0
49918;49;0;PLAY;StillPlaying;91917.0
50926;50;0;BUFFERING;Play-Buffering;0
50971;50;1;BUFFERING;Writing;46980.0
50972;50;1;PLAY;Buffering-Play;0
50974;50;0;PLAY;StillPlaying;46980.0
51591;50;1;PLAY;Writing;46980.0
51983;51;0;PLAY;StillPlaying;46980.0
52731;51;1;PLAY;Writing;91917.0
52983;52;0;PLAY;StillPlaying;91917.0
53983;53;0;BUFFERING;Play-Buffering;0
54380;53;1;BUFFERING;Writing;46980.0
54382;53;1;PLAY;Buffering-Play;0
54384;53;0;PLAY;StillPlaying;46980.0
55392;54;0;BUFFERING;Play-Buffering;0
55434;54;1;BUFFERING;Writing;46980.0
55436;54;1;PLAY;Buffering-Play;0
55438;54;0;PLAY;StillPlaying;46980.0
56055;54;1;PLAY;Writing;46980.0
56446;55;0;PLAY;StillPlaying;46980.0
57231;55;1;PLAY;Writing;91917.0
57446;56;0;PLAY;StillPlaying;91917.0
58415;56;1;PLAY;Writing;46980.0
58447;57;0;PLAY;StillPlaying;46980.0
59048;57;1;PLAY;Writing;91917.0
59446;58;0;PLAY;StillPlaying;91917.0
59655;58;1;PLAY;Writing;46980.0
60330;58;2;PLAY;Writing;91917.0
60447;59;1;PLAY;StillPlaying;46980.0
60975;59;2;PLAY;Writing;46980.0
61446;60;1;PLAY;StillPlaying;91917.0
61637;60;2;PLAY;Writing;91917.0
62274;60;3;PLAY;Writing;135410.0
62446;61;2;PLAY;StillPlaying;46980.0
62900;61;3;PLAY;Writing;91917.0
63446;62;2;PLAY;StillPlaying;91917.0
63515;62;3;PLAY;Writing;135410.0
64174;62;4;PLAY;Writing;182366.0
64446;63;3;PLAY;StillPlaying;135410.0
64781;63;4;PLAY;Writing;226106.0
65447;64;3;PLAY;StillPlaying;91917.0
65447;64;4;PLAY;Writing;270316.0
66446;65;3;PLAY;StillPlaying;135410.0
66580;65;4;PLAY;Writing;352546.0
67446;66;3;PLAY;StillPlaying;182366.0
67747;66;4;PLAY;Writing;270316.0
68404;66;5;PLAY;Writing;352546.0
68447;67;4;PLAY;StillPlaying;226106.0
69027;67;5;PLAY;Writing;270316.0
69446;68;4;PLAY;StillPlaying;270316.0
70166;68;5;PLAY;Writing;352546.0
70446;69;4;PLAY;StillPlaying;352546.0
70787;69;5;PLAY;Writing;270316.0
71447;70;4;PLAY;StillPlaying;270316.0
71447;70;5;PLAY;Writing;352546.0
72446;71;4;PLAY;StillPlaying;352546.0
72578;71;5;PLAY;Writing;424520.0
73258;71;6;PLAY;Writing;352546.0
73446;72;5;PLAY;StillPlaying;270316.0
74399;72;6;PLAY;Writing;424520.0
74455;73;5;PLAY;StillPlaying;352546.0
75446;74;4;PLAY;StillPlaying;270316.0
75559;74;5;PLAY;Writing;537825.0
