EpochTime;CurrentPlaybackTime;CurrentBufferSize;CurrentPlaybackState;Action;Bitrate
0;0;0;INITIAL_BUFFERING;Starting;0
0;0;0;INITIAL_BUFFERING;Starting;0
1;0;1;INITIAL_BUFFERING;Writing;46980
3;0;1;PLAY;InitialBuffering-Play;0
5;0;0;PLAY;StillPlaying;46980
606;0;1;PLAY;Writing;46980.0
1017;1;0;PLAY;StillPlaying;46980.0
1247;1;1;PLAY;Writing;46980.0
1882;1;2;PLAY;Writing;91917.0
2017;2;1;PLAY;StillPlaying;46980.0
2545;2;2;PLAY;Writing;46980.0
3017;3;1;PLAY;StillPlaying;91917.0
3152;3;2;PLAY;Writing;91917.0
3790;3;3;PLAY;Writing;135410.0
4017;4;2;PLAY;StillPlaying;46980.0
4480;4;3;PLAY;Writing;91917.0
5017;5;2;PLAY;StillPlaying;91917.0
5085;5;3;PLAY;Writing;135410.0
5759;5;4;PLAY;Writing;182366.0
6017;6;3;PLAY;StillPlaying;135410.0
6418;6;4;PLAY;Writing;226106.0
7017;7;3;PLAY;StillPlaying;91917.0
7558;7;4;PLAY;Writing;270316.0
8017;8;3;PLAY;StillPlaying;135410.0
8174;8;4;PLAY;Writing;226106.0
9017;9;3;PLAY;StillPlaying;182366.0
9297;9;4;PLAY;Writing;270316.0
10017;10;3;PLAY;StillPlaying;226106.0
10463;10;4;PLAY;Writing;226106.0
11017;11;3;PLAY;StillPlaying;270316.0
11660;11;4;PLAY;Writing;270316.0
12017;12;3;PLAY;StillPlaying;226106.0
12400;12;4;PLAY;Writing;182366.0
13017;13;3;PLAY;StillPlaying;270316.0
13578;13;4;PLAY;Writing;226106.0
14017;14;3;PLAY;StillPlaying;226106.0
14732;14;4;PLAY;Writing;182366.0
15017;15;3;PLAY;StillPlaying;270316.0
15966;15;4;PLAY;Writing;226106.0
16019;16;3;PLAY;StillPlaying;182366.0
16578;16;4;PLAY;Writing;182366.0
17017;17;3;PLAY;StillPlaying;226106.0
17830;17;4;PLAY;Writing;226106.0
18017;18;3;PLAY;StillPlaying;182366.0
18485;18;4;PLAY;Writing;182366.0
19017;19;3;PLAY;StillPlaying;226106.0
19098;19;4;PLAY;Writing;226106.0
20017;20;3;PLAY;StillPlaying;182366.0
20233;20;4;PLAY;Writing;182366.0
20896;20;5;PLAY;Writing;226106.0
21017;21;4;PLAY;StillPlaying;226106.0
21518;21;5;PLAY;Writing;182366.0
22017;22;4;PLAY;StillPlaying;182366.0
22201;22;5;PLAY;Writing;226106.0
22876;22;6;PLAY;Writing;270316.0
23017;23;5;PLAY;StillPlaying;226106.0
24018;24;4;PLAY;StillPlaying;182366.0
24018;24;5;PLAY;Writing;352546.0
25017;25;4;PLAY;StillPlaying;226106.0
25209;25;5;PLAY;Writing;270316.0
26017;26;4;PLAY;StillPlaying;182366.0
26368;26;5;PLAY;Writing;352546.0
27001;26;6;PLAY;Writing;270316.0
27019;27;5;PLAY;StillPlaying;226106.0
28017;28;4;PLAY;StillPlaying;270316.0
28120;28;5;PLAY;Writing;352546.0
29017;29;4;PLAY;StillPlaying;352546.0
29305;29;5;PLAY;Writing;270316.0
30017;30;4;PLAY;StillPlaying;270316.0
30497;30;5;PLAY;Writing;352546.0
31017;31;4;PLAY;StillPlaying;352546.0
31710;31;5;PLAY;Writing;270316.0
32017;32;4;PLAY;StillPlaying;270316.0
32930;32;5;PLAY;Writing;352546.0
33018;33;4;PLAY;StillPlaying;352546.0
34017;34;3;PLAY;StillPlaying;270316.0
34068;34;4;PLAY;Writing;226106.0
35017;35;3;PLAY;StillPlaying;352546.0
35226;35;4;PLAY;Writing;270316.0
35877;35;5;PLAY;Writing;226106.0
36017;36;4;PLAY;StillPlaying;270316.0
36550;36;5;PLAY;Writing;270316.0
37018;37;4;PLAY;StillPlaying;352546.0
37711;37;5;PLAY;Writing;352546.0
38017;38;4;PLAY;StillPlaying;226106.0
38330;38;5;PLAY;Writing;270316.0
39017;39;4;PLAY;StillPlaying;270316.0
39514;39;5;PLAY;Writing;352546.0
40017;40;4;PLAY;StillPlaying;226106.0
40720;40;5;PLAY;Writing;270316.0
41017;41;4;PLAY;StillPlaying;270316.0
41435;41;5;PLAY;Writing;352546.0
42017;42;4;PLAY;StillPlaying;352546.0
42614;42;5;PLAY;Writing;270316.0
43017;43;4;PLAY;StillPlaying;270316.0
43750;43;5;PLAY;Writing;352546.0
44017;44;4;PLAY;StillPlaying;352546.0
45017;45;4;PLAY;Writing;270316.0
45018;45;4;PLAY;StillPlaying;270316.0
46017;46;3;PLAY;StillPlaying;352546.0
46178;46;4;PLAY;Writing;352546.0
47017;47;3;PLAY;StillPlaying;270316.0
47309;47;4;PLAY;Writing;270316.0
47964;47;5;PLAY;Writing;226106.0
48018;48;4;PLAY;StillPlaying;352546.0
48658;48;5;PLAY;Writing;270316.0
49017;49;4;PLAY;StillPlaying;270316.0
49850;49;5;PLAY;Writing;352546.0
50018;50;4;PLAY;StillPlaying;352546.0
50574;50;5;PLAY;Writing;270316.0
51017;51;4;PLAY;StillPlaying;270316.0
51786;51;5;PLAY;Writing;352546.0
52017;52;4;PLAY;StillPlaying;226106.0
52469;52;5;PLAY;Writing;270316.0
53017;53;4;PLAY;StillPlaying;270316.0
53142;53;5;PLAY;Writing;352546.0
54017;54;4;PLAY;StillPlaying;352546.0
54330;54;5;PLAY;Writing;270316.0
55018;55;4;PLAY;StillPlaying;270316.0
55041;55;5;PLAY;Writing;352546.0
55682;55;6;PLAY;Writing;270316.0
56017;56;5;PLAY;StillPlaying;352546.0
56280;56;6;PLAY;Writing;352546.0
56990;56;7;PLAY;Writing;270316.0
57018;57;6;PLAY;StillPlaying;270316.0
58017;58;5;PLAY;StillPlaying;352546.0
58162;58;6;PLAY;Writing;352546.0
59017;59;5;PLAY;StillPlaying;270316.0
59330;59;6;PLAY;Writing;424520.0
60017;60;5;PLAY;StillPlaying;352546.0
60520;60;6;PLAY;Writing;352546.0
61017;61;5;PLAY;StillPlaying;270316.0
61178;61;6;PLAY;Writing;270316.0
62017;62;5;PLAY;StillPlaying;352546.0
62386;62;6;PLAY;Writing;352546.0
63018;63;5;PLAY;StillPlaying;270316.0
63019;63;6;PLAY;Writing;270316.0
63728;63;7;PLAY;Writing;352546.0
64017;64;6;PLAY;StillPlaying;352546.0
64410;64;7;PLAY;Writing;424520.0
65017;65;6;PLAY;StillPlaying;424520.0
65551;65;7;PLAY;Writing;352546.0
66017;66;6;PLAY;StillPlaying;352546.0
66206;66;7;PLAY;Writing;424520.0
67017;67;6;PLAY;StillPlaying;270316.0
67478;67;7;PLAY;Writing;352546.0
68017;68;6;PLAY;StillPlaying;352546.0
68706;68;7;PLAY;Writing;424520.0
69017;69;6;PLAY;StillPlaying;270316.0
69873;69;7;PLAY;Writing;270316.0
70018;70;6;PLAY;StillPlaying;352546.0
71017;71;5;PLAY;StillPlaying;424520.0
71094;71;6;PLAY;Writing;352546.0
71854;71;7;PLAY;Writing;270316.0
72018;72;6;PLAY;StillPlaying;352546.0
72578;72;7;PLAY;Writing;352546.0
73017;73;6;PLAY;StillPlaying;424520.0
73726;73;7;PLAY;Writing;270316.0
74017;74;6;PLAY;StillPlaying;352546.0
74434;74;7;PLAY;Writing;352546.0
75017;75;6;PLAY;StillPlaying;424520.0
75637;75;7;PLAY;Writing;424520.0
76017;76;6;PLAY;StillPlaying;270316.0
76378;76;7;PLAY;Writing;352546.0
77017;77;6;PLAY;StillPlaying;352546.0
77521;77;7;PLAY;Writing;424520.0
78017;78;6;PLAY;StillPlaying;270316.0
78199;78;7;PLAY;Writing;352546.0
78910;78;8;PLAY;Writing;424520.0
